,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2002,iwf,W,1.0,Ri Song-hui,PRK,A,52.9,97.5,-103.0,-103.0,97.5,1,122.5,125.5,127.5,127.5,1,225.0
1,2002,iwf,W,2.0,Li Xuejiu,CHN,A,52.85,90.0,92.5,95.0,95.0,2,115.0,120.0,127.5,127.5,1,222.5
2,2002,iwf,W,3.0,Udomporn Polsak,THA,A,52.95,90.0,-95.0,95.0,95.0,2,115.0,-120.0,120.0,120.0,3,215.0
3,2002,iwf,W,4.0,Mabel Mosquera,COL,A,52.6,-85.0,85.0,90.0,90.0,4,110.0,-115.0,115.0,115.0,4,205.0
4,2002,iwf,W,5.0,Donka Mincheva,BUL,A,52.5,87.5,-92.5,-92.5,87.5,5,110.0,-115.0,-117.5,110.0,5,197.5
5,2002,iwf,W,6.0,Esmat Mansour,EGY,A,52.95,75.0,80.0,-82.5,80.0,8,100.0,107.5,-112.5,107.5,6,187.5
6,2002,iwf,W,7.0,Tara Nott,USA,A,51.85,-82.5,82.5,85.0,85.0,7,100.0,-102.5,-102.5,100.0,8,185.0
7,2002,iwf,W,8.0,Fang Hsin-tzu,TPE,A,52.15,75.0,-80.0,-80.0,75.0,12,100.0,105.0,-110.0,105.0,7,180.0
8,2002,iwf,W,9.0,Hiromi Miyake,JPN,B,52.2,75.0,77.5,-80.0,77.5,9,-97.5,97.5,-100.0,97.5,9,175.0
9,2002,iwf,W,10.0,Estefanía Juan,ESP,B,51.65,75.0,77.5,-80.0,77.5,9,95.0,-97.5,-97.5,95.0,10,172.5
10,2002,iwf,W,11.0,Lin Tsu-ling,TPE,B,52.7,75.0,-77.5,-77.5,75.0,12,92.5,-95.0,95.0,95.0,10,170.0
11,2002,iwf,W,12.0,Natasha Barker,AUS,B,52.95,72.5,77.5,-80.0,77.5,9,92.5,-97.5,-97.5,92.5,15,170.0
12,2002,iwf,W,13.0,Heidi Neubacher,AUT,B,52.95,70.0,75.0,-77.5,75.0,12,90.0,95.0,-97.5,95.0,10,170.0
13,2002,iwf,W,14.0,Virginie Lachaume,FRA,B,52.25,70.0,72.5,-75.0,72.5,15,90.0,95.0,-97.5,95.0,10,167.5
14,2002,iwf,W,15.0,Jo Calvino,GBR,B,52.9,-60.0,-60.0,60.0,60.0,16,-77.5,77.5,-80.0,77.5,16,137.5
15,2002,iwf,W,0.0,Alexandra Escobar,ECU,A,52.75,87.5,-90.0,-92.5,87.5,5,-110.0,-110.0,-110.0,-110.0,17,0.0
16,2002,iwf,W,0.0,Barbara Sachmacińska,POL,A,52.85,-75.0,-75.0,-75.0,-75.0,17,-95.0,-95.0,95.0,95.0,10,0.0
