,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2003,iwf,W,1.0,Nahla Ramadan,EGY,A,74.55,112.5,117.5,-120.0,117.5,2,140.0,145.0,-150.0,145.0,2,262.5
1,2003,iwf,W,2.0,Slaveyka Ruzhinska,BUL,A,73.38,-105.0,105.0,112.5,112.5,4,135.0,140.0,-145.0,140.0,3,252.5
2,2003,iwf,W,3.0,Şule Şahbaz,TUR,A,74.4,110.0,115.0,-117.5,115.0,3,127.5,-135.0,-135.0,127.5,14,242.5
3,2003,iwf,W,4.0,Huang Shih-chun,TPE,A,74.58,107.5,110.0,-112.5,110.0,6,127.5,-132.5,132.5,132.5,7,242.5
4,2003,iwf,W,5.0,Rumyana Petkova,BUL,B,72.48,105.0,110.0,112.5,112.5,4,120.0,127.5,-130.0,127.5,14,240.0
5,2003,iwf,W,6.0,Nadiya Shamanska,UKR,B,74.14,105.0,-110.0,-110.0,105.0,10,130.0,135.0,-140.0,135.0,4,240.0
6,2003,iwf,W,7.0,Kim Soon-hee,KOR,A,74.47,-105.0,105.0,-110.0,105.0,10,135.0,-140.0,-142.5,135.0,4,240.0
7,2003,iwf,W,8.0,Tatyana Khromova,KAZ,A,74.79,110.0,-115.0,-115.0,110.0,6,-130.0,130.0,-135.0,130.0,9,240.0
8,2003,iwf,W,9.0,Wanda Rijo,DOM,B,74.56,102.5,107.5,-110.0,107.5,8,125.0,130.0,-132.5,130.0,9,237.5
9,2003,iwf,W,10.0,Karnam Malleswari,IND,B,69.23,-105.0,105.0,-107.5,105.0,10,125.0,130.0,-135.0,130.0,9,235.0
10,2003,iwf,W,11.0,Nora Köppel,ARG,A,73.3,-102.5,-102.5,102.5,102.5,14,-132.5,-132.5,132.5,132.5,7,235.0
11,2003,iwf,W,12.0,Svetlana Podobedova,RUS,B,74.39,95.0,100.0,105.0,105.0,10,125.0,-130.0,-132.5,125.0,16,230.0
12,2003,iwf,W,13.0,Kateryna Byelik,UKR,B,74.67,100.0,-105.0,-105.0,100.0,16,120.0,125.0,130.0,130.0,9,230.0
13,2003,iwf,W,14.0,Lee Yeon-hwa,KOR,B,74.93,-95.0,95.0,-100.0,95.0,19,125.0,130.0,-132.5,130.0,9,225.0
14,2003,iwf,W,15.0,Ijeoma Nwatu,NGR,C,73.04,95.0,-100.0,-100.0,95.0,19,115.0,120.0,122.5,122.5,17,217.5
15,2003,iwf,W,16.0,Cara Heads,USA,C,74.03,-97.5,97.5,-100.0,97.5,18,115.0,120.0,-122.5,120.0,18,217.5
16,2003,iwf,W,17.0,Veronika Lukashevich,BLR,C,72.87,95.0,-100.0,-100.0,95.0,19,115.0,-120.0,120.0,120.0,18,215.0
17,2003,iwf,W,18.0,Damaris Aguirre,MEX,C,73.95,95.0,100.0,-102.5,100.0,16,115.0,-117.5,-120.0,115.0,23,215.0
18,2003,iwf,W,19.0,Liu Fang-hsiu,TPE,C,73.96,-95.0,95.0,-97.5,95.0,19,-120.0,120.0,-125.0,120.0,18,215.0
19,2003,iwf,W,20.0,Gina Hoog,GER,C,74.77,90.0,92.5,-95.0,92.5,25,115.0,120.0,-122.5,120.0,18,212.5
20,2003,iwf,W,21.0,Aysel Özgür,TUR,C,74.98,95.0,100.0,102.5,102.5,14,110.0,-115.0,-115.0,110.0,25,212.5
21,2003,iwf,W,22.0,Radomíra Ševčíková,CZE,C,74.26,92.5,-97.5,-97.5,92.5,25,112.5,117.5,-120.0,117.5,22,210.0
22,2003,iwf,W,23.0,Cinthya Domínguez,MEX,C,74.8,-95.0,-95.0,95.0,95.0,19,-107.5,107.5,112.5,112.5,24,207.5
23,2003,iwf,W,24.0,Sefi Onubaye,NGR,C,74.0,-95.0,-95.0,95.0,95.0,19,110.0,-115.0,-115.0,110.0,25,205.0
24,2003,iwf,W,25.0,Charlotte MacEachern,CAN,C,74.68,87.5,-92.5,92.5,92.5,25,97.5,-102.5,102.5,102.5,27,195.0
25,2003,iwf,W,0.0,Shang Shichun,CHN,A,74.0,115.0,117.5,120.0,120.0,1,145.0,147.5,153.0,153.0,1,0.0
26,2003,iwf,W,0.0,Ilona Dankó,HUN,A,74.24,107.5,-112.5,-112.5,107.5,8,130.0,135.0,-137.5,135.0,4,0.0
