,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2017,iwf,W,1.0,Kuo Hsing-chun,TPE,A,,99.0,102.0,105.0,105.0,1,126.0,131.0,135.0,135.0,1,240.0
1,2017,iwf,W,2.0,Sukanya Srisurat,THA,A,,99.0,102.0,105.0,105.0,1,117.0,120.0,-124.0,120.0,6,225.0
2,2017,iwf,W,3.0,Rebeka Koha,LAT,A,,94.0,98.0,101.0,101.0,3,114.0,118.0,121.0,121.0,4,222.0
3,2017,iwf,W,4.0,Mikiko Ando,JPN,A,,-93.0,93.0,-95.0,93.0,7,123.0,126.0,-130.0,126.0,2,219.0
4,2017,iwf,W,5.0,Alexandra Escobar,ECU,A,,93.0,96.0,-99.0,96.0,5,116.0,119.0,122.0,122.0,3,218.0
5,2017,iwf,W,6.0,Quisia Guicho,MEX,A,,87.0,89.0,91.0,91.0,8,118.0,121.0,-123.0,121.0,4,212.0
6,2017,iwf,W,7.0,María Lobón,COL,A,,93.0,95.0,-98.0,95.0,6,112.0,-117.0,-119.0,112.0,8,207.0
7,2017,iwf,W,8.0,Evagjelia Veli,ALB,A,,90.0,-94.0,-94.0,90.0,9,110.0,-113.0,113.0,113.0,7,203.0
8,2017,iwf,W,9.0,Tali Darsigny,CAN,B,,84.0,-87.0,87.0,87.0,11,103.0,107.0,109.0,109.0,10,196.0
9,2017,iwf,W,10.0,Þuríður Helgadóttir,ISL,B,,79.0,83.0,86.0,86.0,12,97.0,103.0,108.0,108.0,11,194.0
10,2017,iwf,W,11.0,Jennifer Lombardo,ITA,B,,81.0,83.0,-85.0,83.0,13,100.0,105.0,108.0,108.0,11,193.0
11,2017,iwf,W,12.0,Katarzyna Kraska,POL,B,,80.0,82.0,-84.0,82.0,14,-108.0,108.0,-113.0,108.0,11,190.0
12,2017,iwf,W,13.0,Irina Lepșa,ROU,B,,-82.0,82.0,-85.0,82.0,14,98.0,102.0,-105.0,102.0,14,184.0
13,2017,iwf,W,14.0,Rachel Leblanc-Bazinet,CAN,B,,-76.0,76.0,78.0,78.0,17,98.0,-101.0,-101.0,98.0,15,176.0
14,2017,iwf,W,15.0,Laura Hewitt,GBR,B,,75.0,79.0,-82.0,79.0,16,93.0,-99.0,-99.0,93.0,16,172.0
15,2017,iwf,W,0.0,Muattar Nabieva,UZB,A,,90.0,94.0,97.0,97.0,4,-113.0,-113.0,-115.0,-113.0,18,0.0
16,2017,iwf,W,0.0,Kim So-hwa,KOR,A,,89.0,-92.0,-92.0,89.0,10,-110.0,-110.0,-110.0,-110.0,17,0.0
17,2017,iwf,W,0.0,Karool Blanco,COL,A,,-93.0,-93.0,-93.0,-93.0,18,-111.0,-111.0,111.0,111.0,9,0.0
