,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,1999,iwf,M,1.0,Denys Hotfrid,UKR,A,104.94,190.0,195.0,-198.0,195.0,1,225.0,230.0,235.0,235.0,1,430.0
1,1999,iwf,M,2.0,Evgeny Shishlyannikov,RUS,A,104.8,185.0,-190.0,190.0,190.0,2,222.5,227.5,235.0,235.0,1,425.0
2,1999,iwf,M,3.0,Choi Jong-keun,KOR,A,103.33,185.0,-190.0,190.0,190.0,2,220.0,-225.0,-225.0,220.0,6,410.0
3,1999,iwf,M,4.0,Mukhran Gogia,GEO,A,103.62,175.0,182.5,187.5,187.5,4,215.0,220.0,-225.0,220.0,6,407.5
4,1999,iwf,M,5.0,Hossein Tavakkoli,IRI,A,104.72,180.0,185.0,-190.0,185.0,5,215.0,222.5,-227.5,222.5,4,407.5
5,1999,iwf,M,6.0,Alexandru Bratan,MDA,A,102.51,180.0,185.0,-187.5,185.0,5,212.5,-220.0,220.0,220.0,6,405.0
6,1999,iwf,M,7.0,Grzegorz Kleszcz,POL,A,104.08,180.0,-185.0,185.0,185.0,5,-220.0,220.0,-225.0,220.0,6,405.0
7,1999,iwf,M,8.0,Robert Dołęga,POL,A,103.67,172.5,177.5,-182.5,177.5,13,220.0,225.0,-230.0,225.0,3,402.5
8,1999,iwf,M,9.0,Abdulaziz Alpak,TUR,A,103.69,170.0,175.0,180.0,180.0,10,215.0,222.5,-227.5,222.5,4,402.5
9,1999,iwf,M,10.0,Anatoly Khrapaty,KAZ,A,103.91,175.0,180.0,-185.0,180.0,10,210.0,-220.0,220.0,220.0,6,400.0
10,1999,iwf,M,11.0,Said Saif Asaad,QAT,A,104.08,-180.0,180.0,-185.0,180.0,10,220.0,-227.5,-227.5,220.0,6,400.0
11,1999,iwf,M,12.0,Péter Tamton,HUN,A,104.66,170.0,177.5,182.5,182.5,9,-207.5,207.5,215.0,215.0,13,397.5
12,1999,iwf,M,13.0,Adrian Mateaș,ROU,A,101.63,-180.0,180.0,185.0,185.0,5,200.0,210.0,-215.0,210.0,18,395.0
13,1999,iwf,M,14.0,Aslan Bamataliyev,AZE,A,103.25,170.0,175.0,-180.0,175.0,14,205.0,-215.0,215.0,215.0,13,390.0
14,1999,iwf,M,15.0,Wes Barnett,USA,A,104.81,170.0,-175.0,-175.0,170.0,20,215.0,-220.0,220.0,220.0,6,390.0
15,1999,iwf,M,16.0,Hisaya Yoshimoto,JPN,A,104.99,170.0,175.0,-177.5,175.0,14,210.0,215.0,-220.0,215.0,13,390.0
16,1999,iwf,M,17.0,Moreno Boer,ITA,A,104.58,-175.0,-175.0,175.0,175.0,14,207.5,212.5,-217.5,212.5,16,387.5
17,1999,iwf,M,18.0,Dimitri Prochorow,GER,A,104.2,-170.0,170.0,175.0,175.0,14,205.0,210.0,-215.0,210.0,18,385.0
18,1999,iwf,M,19.0,Vladimir Emelianov,BLR,A,104.64,175.0,-182.5,-182.5,175.0,14,200.0,210.0,-220.0,210.0,18,385.0
19,1999,iwf,M,20.0,Fabio Magrini,ITA,A,104.65,162.5,167.5,170.0,170.0,20,202.5,207.5,212.5,212.5,16,382.5
20,1999,iwf,M,21.0,Oļegs Jegorovs,LAT,A,104.67,167.5,172.5,175.0,175.0,14,192.5,197.5,-200.0,197.5,26,372.5
21,1999,iwf,M,22.0,Silvio Ajfrid,AUT,A,104.87,160.0,-165.0,-165.0,160.0,25,200.0,205.0,210.0,210.0,18,370.0
22,1999,iwf,M,23.0,Tharwat Bendary,EGY,A,103.89,-165.0,165.0,-170.0,165.0,22,200.0,-210.0,-210.0,200.0,23,365.0
23,1999,iwf,M,24.0,Thomas Yule,GBR,A,104.82,155.0,160.0,165.0,165.0,22,-195.0,195.0,200.0,200.0,23,365.0
24,1999,iwf,M,25.0,Kamel Naoui,TUN,A,98.96,155.0,160.0,-165.0,160.0,25,185.0,190.0,-195.0,190.0,29,350.0
25,1999,iwf,M,26.0,Cristián Escalante,CHI,A,104.82,160.0,-165.0,-165.0,160.0,25,190.0,0.0,0.0,190.0,29,350.0
26,1999,iwf,M,27.0,Su Tsung-jung,TPE,A,104.64,140.0,145.0,150.0,150.0,28,180.0,192.5,195.0,195.0,27,345.0
27,1999,iwf,M,28.0,Henrik Nobel,DEN,A,104.72,147.5,-152.5,-152.5,147.5,30,175.0,182.5,185.0,185.0,32,332.5
28,1999,iwf,M,29.0,Frank Pérez,DOM,A,104.05,150.0,-155.0,-155.0,150.0,28,170.0,-180.0,180.0,180.0,33,330.0
29,1999,iwf,M,30.0,Rufus Adeyemi,NGR,A,104.49,-135.0,135.0,-142.5,135.0,31,-180.0,180.0,187.5,187.5,31,322.5
