,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2006,iwf,M,1.0,Andrei Rybakou,BLR,A,84.53,180.0,-187.0,-187.0,180.0,1,200.0,203.0,-210.0,203.0,1,383.0
1,2006,iwf,M,2.0,Aslanbek Ediev,RUS,A,84.98,168.0,172.0,-174.0,172.0,2,-195.0,195.0,201.0,201.0,3,373.0
2,2006,iwf,M,3.0,Tigran Martirosyan,ARM,A,84.41,167.0,172.0,-175.0,172.0,2,-198.0,198.0,-202.0,198.0,6,370.0
3,2006,iwf,M,4.0,Vyacheslav Yershov,KAZ,A,82.08,165.0,-170.0,170.0,170.0,5,180.0,190.0,197.0,197.0,7,367.0
4,2006,iwf,M,5.0,Vadzim Straltsou,BLR,A,84.86,-165.0,165.0,170.0,170.0,5,195.0,-203.0,-203.0,195.0,10,365.0
5,2006,iwf,M,6.0,Roman Khamatshin,RUS,A,84.85,-160.0,-160.0,160.0,160.0,10,195.0,203.0,-211.0,203.0,1,363.0
6,2006,iwf,M,7.0,Valeriu Calancea,ROU,A,84.35,158.0,-162.0,162.0,162.0,9,200.0,-205.0,-205.0,200.0,4,362.0
7,2006,iwf,M,8.0,Héctor Ballesteros,COL,B,84.42,152.0,155.0,160.0,160.0,10,192.0,-200.0,200.0,200.0,4,360.0
8,2006,iwf,M,9.0,Yuan Aijun,CHN,A,84.6,163.0,-168.0,-168.0,163.0,7,197.0,-205.0,-205.0,197.0,7,360.0
9,2006,iwf,M,10.0,Georgi Markov,BUL,A,84.68,160.0,-165.0,-165.0,160.0,10,190.0,195.0,0.0,195.0,10,355.0
10,2006,iwf,M,11.0,Endri Haxhihyseni,ALB,A,84.24,-163.0,-163.0,163.0,163.0,7,190.0,-196.0,-196.0,190.0,16,353.0
11,2006,iwf,M,12.0,José Oliver Ruiz,COL,B,84.8,152.0,155.0,158.0,158.0,13,-192.0,192.0,-200.0,192.0,14,350.0
12,2006,iwf,M,13.0,Gaber Mohamed,EGY,B,85.0,155.0,158.0,-161.0,158.0,13,187.0,192.0,196.0,196.0,9,350.0
13,2006,iwf,M,14.0,Her Jin,KOR,B,84.42,147.0,152.0,-154.0,152.0,17,185.0,190.0,192.0,192.0,14,344.0
14,2006,iwf,M,15.0,Kendrick Farris,USA,B,84.85,145.0,150.0,-153.0,150.0,19,188.0,193.0,-195.0,193.0,13,343.0
15,2006,iwf,M,16.0,Ulanbek Moldodosov,KGZ,B,82.51,-150.0,-150.0,150.0,150.0,19,-181.0,181.0,190.0,190.0,16,340.0
16,2006,iwf,M,17.0,Yoto Yotov,CRO,C,83.93,141.0,146.0,150.0,150.0,19,180.0,185.0,190.0,190.0,16,340.0
17,2006,iwf,M,18.0,Kim Seon-jong,KOR,B,84.96,145.0,-150.0,-150.0,145.0,29,190.0,195.0,-199.0,195.0,10,340.0
18,2006,iwf,M,19.0,Kostyantyn Selivanov,UKR,B,84.89,145.0,150.0,-153.0,150.0,19,185.0,188.0,-191.0,188.0,19,338.0
19,2006,iwf,M,20.0,Mariusz Rytkowski,POL,B,84.98,152.0,-157.0,-157.0,152.0,17,183.0,-186.0,186.0,186.0,20,338.0
20,2006,iwf,M,21.0,Intigam Zairov,AZE,C,84.89,-150.0,150.0,-157.0,150.0,19,180.0,186.0,-191.0,186.0,20,336.0
21,2006,iwf,M,22.0,Norbert Cser,HUN,B,83.85,-145.0,145.0,150.0,150.0,19,179.0,185.0,-187.0,185.0,22,335.0
22,2006,iwf,M,23.0,Sergey Sedov,KAZ,B,84.59,150.0,155.0,-158.0,155.0,16,176.0,-181.0,-182.0,176.0,27,331.0
23,2006,iwf,M,24.0,Innocent Ukpong,USA,C,84.63,143.0,-147.0,147.0,147.0,27,184.0,-189.0,-194.0,184.0,23,331.0
24,2006,iwf,M,25.0,Adriano Méndez,ESP,C,84.2,140.0,145.0,-150.0,145.0,29,-180.0,180.0,183.0,183.0,24,328.0
25,2006,iwf,M,26.0,Juan Quiterio,DOM,C,83.66,140.0,145.0,-148.0,145.0,29,175.0,180.0,-188.0,180.0,26,325.0
26,2006,iwf,M,27.0,Artūras Skavičius,LTU,C,84.6,142.0,-150.0,-150.0,142.0,32,181.0,-187.0,-187.0,181.0,25,323.0
27,2006,iwf,M,28.0,Mansur Rejepow,TKM,C,83.98,-145.0,145.0,150.0,150.0,19,165.0,172.0,-178.0,172.0,32,322.0
28,2006,iwf,M,29.0,Ruslan Ramazanow,TKM,C,84.97,142.0,-146.0,146.0,146.0,28,170.0,-175.0,175.0,175.0,30,321.0
29,2006,iwf,M,30.0,Richard Tkáč,SVK,C,84.81,145.0,150.0,-153.0,150.0,19,170.0,-174.0,-175.0,170.0,33,320.0
30,2006,iwf,M,31.0,Pavel Kolosovski,ISR,C,84.71,141.0,-146.0,-146.0,141.0,33,176.0,-181.0,-181.0,176.0,27,317.0
31,2006,iwf,M,32.0,Zoltán Gráner,HUN,C,83.89,140.0,-145.0,-145.0,140.0,35,-170.0,-170.0,170.0,170.0,33,310.0
32,2006,iwf,M,33.0,Jean-Philippe Maranda,CAN,D,84.33,128.0,133.0,-137.0,133.0,38,170.0,175.0,-180.0,175.0,30,308.0
