,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2014,iwf,W,1.0,Tan Yayun,CHN,A,47.74,83.0,85.0,-87.0,85.0,1,105.0,-108.0,109.0,109.0,1,194.0
1,2014,iwf,W,2.0,Sibel Özkan,TUR,A,47.27,82.0,-84.0,84.0,84.0,2,103.0,105.0,-108.0,105.0,4,189.0
2,2014,iwf,W,3.0,Panida Khamsri,THA,A,47.6,76.0,79.0,81.0,81.0,3,-105.0,105.0,108.0,108.0,2,189.0
3,2014,iwf,W,4.0,Sri Wahyuni Agustiani,INA,A,47.63,-75.0,77.0,-80.0,77.0,8,99.0,101.0,106.0,106.0,3,183.0
4,2014,iwf,W,5.0,Genny Pagliaro,ITA,A,47.7,-79.0,79.0,81.0,81.0,3,97.0,-100.0,-100.0,97.0,6,178.0
5,2014,iwf,W,6.0,Cándida Vásquez,DOM,A,47.12,-76.0,76.0,79.0,79.0,5,91.0,94.0,96.0,96.0,7,175.0
6,2014,iwf,W,7.0,Im Jyoung-hwa,KOR,B,47.5,70.0,74.0,77.0,77.0,8,92.0,-96.0,96.0,96.0,7,173.0
7,2014,iwf,W,8.0,Shqiponja Brahja,ALB,C,48.0,78.0,-83.0,-83.0,78.0,6,90.0,95.0,-97.0,95.0,12,173.0
8,2014,iwf,W,9.0,Iana Diachenko,UKR,A,47.44,-77.0,77.0,-80.0,77.0,8,-91.0,91.0,95.0,95.0,12,172.0
9,2014,iwf,W,10.0,Morghan King,USA,B,47.57,73.0,-76.0,76.0,76.0,12,90.0,-94.0,96.0,96.0,7,172.0
10,2014,iwf,W,11.0,Saikhom Mirabai Chanu,IND,B,47.71,71.0,74.0,76.0,76.0,12,93.0,96.0,-98.0,96.0,7,172.0
11,2014,iwf,W,12.0,Anaïs Michel,FRA,B,47.82,73.0,75.0,-77.0,75.0,16,93.0,96.0,-98.0,96.0,7,171.0
12,2014,iwf,W,13.0,Lely Burgos,PUR,B,47.86,73.0,75.0,77.0,77.0,8,92.0,-95.0,-95.0,92.0,17,169.0
13,2014,iwf,W,14.0,Lee Seul-ki,KOR,B,47.63,70.0,73.0,-75.0,73.0,17,88.0,92.0,95.0,95.0,12,168.0
14,2014,iwf,W,15.0,Zhanyl Okoeva,KGZ,B,47.46,72.0,-75.0,-75.0,72.0,20,-94.0,94.0,-99.0,94.0,15,166.0
15,2014,iwf,W,16.0,Honami Mizuochi,JPN,B,47.8,73.0,76.0,-78.0,76.0,12,87.0,89.0,90.0,90.0,18,166.0
16,2014,iwf,W,17.0,Georgina Silvestre,DOM,A,47.34,76.0,-79.0,-79.0,76.0,12,-89.0,89.0,0.0,89.0,20,165.0
17,2014,iwf,W,18.0,Estefanía Juan,ESP,B,47.24,-70.0,-70.0,70.0,70.0,21,90.0,93.0,-96.0,93.0,16,163.0
18,2014,iwf,W,19.0,Wioleta Jastrzębska,POL,C,47.87,70.0,73.0,-75.0,73.0,17,85.0,88.0,-90.0,88.0,21,161.0
19,2014,iwf,W,20.0,Viviana Muñoz,MEX,C,47.82,63.0,68.0,-71.0,68.0,24,85.0,90.0,-93.0,90.0,18,158.0
20,2014,iwf,W,21.0,Lola Kadirova,UZB,C,47.76,70.0,73.0,-75.0,73.0,17,82.0,-84.0,84.0,84.0,24,157.0
21,2014,iwf,W,22.0,Kelly Rexroad,USA,C,47.76,67.0,-70.0,70.0,70.0,21,84.0,-87.0,87.0,87.0,22,157.0
22,2014,iwf,W,23.0,Yuliya Asayonak,BLR,C,47.81,66.0,-70.0,-70.0,66.0,25,82.0,87.0,-92.0,87.0,22,153.0
23,2014,iwf,W,24.0,Jenniffer López,ECU,C,47.83,67.0,-70.0,70.0,70.0,21,-83.0,83.0,-87.0,83.0,25,153.0
24,2014,iwf,W,25.0,Elen Grigoryan,ARM,C,47.75,61.0,65.0,-66.0,65.0,26,82.0,83.0,-86.0,83.0,25,148.0
25,2014,iwf,W,26.0,Misaki Oshiro,JPN,C,47.43,65.0,-70.0,-70.0,65.0,26,75.0,79.0,82.0,82.0,27,147.0
26,2014,iwf,W,0.0,Margarita Yelisseyeva,KAZ,A,47.77,-82.0,-82.0,-83.0,-82.0,29,0.0,0.0,0.0,0.0,28,0.0
27,2014,iwf,W,0.0,Nurcan Taylan,TUR,A,47.6,-80.0,-80.0,-80.0,-80.0,28,-95.0,-95.0,-95.0,-95.0,29,0.0
28,2014,iwf,W,0.0,Mahliyo Togoeva,UZB,A,47.43,75.0,-78.0,78.0,78.0,6,100.0,-104.0,-104.0,100.0,5,0.0
