,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2019,iwf,W,1.0,Rim Jong-sim,PRK,A,,120.0,124.0,-126.0,124.0,1,148.0,152.0,-155.0,152.0,2,276.0
1,2019,iwf,W,2.0,Zhang Wangli,CHN,A,,113.0,-118.0,118.0,118.0,2,-145.0,145.0,153.0,153.0,1,271.0
2,2019,iwf,W,3.0,Neisi Dajomes,ECU,A,,110.0,-115.0,-116.0,110.0,3,135.0,-139.0,-139.0,135.0,4,245.0
3,2019,iwf,W,4.0,Aremi Fuentes,MEX,A,,-107.0,107.0,-111.0,107.0,5,135.0,138.0,-140.0,138.0,3,245.0
4,2019,iwf,W,5.0,Iryna Dekha,UKR,A,,105.0,108.0,110.0,110.0,3,126.0,129.0,132.0,132.0,5,242.0
5,2019,iwf,W,6.0,Kang Yeoun-hee,KOR,B,,-104.0,-104.0,104.0,104.0,7,125.0,131.0,-135.0,131.0,6,235.0
6,2019,iwf,W,7.0,Patricia Strenius,SWE,A,,98.0,102.0,-105.0,102.0,8,-129.0,-129.0,129.0,129.0,8,231.0
7,2019,iwf,W,8.0,Maria Vostrikova,RUS,A,,105.0,-109.0,-109.0,105.0,6,-125.0,125.0,-129.0,125.0,9,230.0
8,2019,iwf,W,9.0,Kristel Ngarlem,CAN,A,,96.0,100.0,-102.0,100.0,12,125.0,-130.0,130.0,130.0,7,230.0
9,2019,iwf,W,10.0,Gülnabat Kadyrowa,TKM,A,,-99.0,-99.0,101.0,101.0,10,-120.0,120.0,123.0,123.0,10,224.0
10,2019,iwf,W,11.0,Dzina Sazanavets,BLR,B,,95.0,98.0,101.0,101.0,10,115.0,120.0,-124.0,120.0,12,221.0
11,2019,iwf,W,12.0,Ayumi Kamiya,JPN,A,,98.0,102.0,-104.0,102.0,8,118.0,-122.0,-122.0,118.0,14,220.0
12,2019,iwf,W,13.0,Yao Chi-ling,TPE,B,,90.0,94.0,-98.0,94.0,14,115.0,120.0,122.0,122.0,11,216.0
13,2019,iwf,W,14.0,Meri Ilmarinen,FIN,B,,92.0,95.0,-97.0,95.0,13,118.0,-121.0,-122.0,118.0,14,213.0
14,2019,iwf,W,15.0,Nora Jäggi,SUI,B,,88.0,91.0,-95.0,91.0,16,114.0,117.0,120.0,120.0,12,211.0
15,2019,iwf,W,16.0,Quinnie Rwahwire,CAN,B,,88.0,-92.0,92.0,92.0,15,-113.0,113.0,115.0,115.0,16,207.0
16,2019,iwf,W,17.0,Jabriella Teo,MAS,B,,82.0,85.0,-87.0,85.0,17,105.0,108.0,-110.0,108.0,17,193.0
