,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2002,iwf,W,1.0,Svetlana Khabirova,RUS,A,72.2,110.0,115.0,117.5,117.5,1,-140.0,140.0,145.0,145.0,1,262.5
1,2002,iwf,W,2.0,Sun Ruiping,CHN,A,74.7,-110.0,110.0,115.0,115.0,2,140.0,145.0,-150.0,145.0,1,260.0
2,2002,iwf,W,3.0,Christina Ioannidi,GRE,A,74.6,102.5,-107.5,-107.5,102.5,6,127.5,132.5,-137.5,132.5,3,235.0
3,2002,iwf,W,4.0,Ilona Dankó,HUN,A,74.65,107.5,-112.5,-115.0,107.5,4,127.5,-132.5,-132.5,127.5,4,235.0
4,2002,iwf,W,5.0,Katalin Laczi,HUN,A,74.25,97.5,-100.0,-100.0,97.5,8,-125.0,125.0,-130.0,125.0,5,222.5
5,2002,iwf,W,6.0,Aysel Özgür,TUR,A,74.55,-105.0,105.0,-110.0,105.0,5,115.0,-122.5,-122.5,115.0,9,220.0
6,2002,iwf,W,7.0,Kateryna Byelik,UKR,A,73.55,95.0,-100.0,100.0,100.0,7,117.5,-122.5,-122.5,117.5,8,217.5
7,2002,iwf,W,8.0,Kazue Imahoko,JPN,A,74.6,92.5,97.5,-100.0,97.5,8,107.5,112.5,-117.5,112.5,10,210.0
8,2002,iwf,W,9.0,Deborah Lovely,AUS,B,74.75,90.0,92.5,-95.0,92.5,10,105.0,110.0,112.5,112.5,10,205.0
9,2002,iwf,W,10.0,Antra Petruņa,LAT,B,69.65,-80.0,-80.0,82.5,82.5,12,-105.0,105.0,110.0,110.0,12,192.5
10,2002,iwf,W,11.0,Josefa Pérez,ESP,B,69.75,-85.0,-85.0,85.0,85.0,11,102.5,105.0,-107.5,105.0,13,190.0
11,2002,iwf,W,0.0,Radomíra Ševčíková,CZE,A,74.9,-95.0,-95.0,-95.0,-95.0,13,115.0,122.5,-127.5,122.5,7,0.0
12,2002,iwf,W,0.0,Ludmila Arefieva,RUS,A,73.05,105.0,110.0,112.5,112.5,3,125.0,-130.0,-130.0,125.0,5,0.0
