,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2015,iwf,M,1.0,Artem Okulov,RUS,A,84.63,168.0,174.0,176.0,176.0,2,205.0,211.0,215.0,215.0,1,391.0
1,2015,iwf,M,2.0,Kianoush Rostami,IRI,A,84.37,173.0,-178.0,-178.0,173.0,3,214.0,-218.0,-219.0,214.0,2,387.0
2,2015,iwf,M,3.0,Apti Aukhadov,RUS,A,84.84,168.0,-172.0,-173.0,168.0,4,205.0,212.0,-216.0,212.0,3,380.0
3,2015,iwf,M,4.0,Oleksandr Pielieshenko,UKR,A,84.54,167.0,-173.0,-173.0,167.0,5,-201.0,201.0,-210.0,201.0,6,368.0
4,2015,iwf,M,5.0,Gabriel Sîncrăian,ROU,A,84.35,163.0,-167.0,167.0,167.0,5,196.0,200.0,-203.0,200.0,8,367.0
5,2015,iwf,M,6.0,Petr Asayonak,BLR,A,83.43,167.0,-173.0,-173.0,167.0,5,196.0,-202.0,-202.0,196.0,11,363.0
6,2015,iwf,M,7.0,Antonino Pizzolato,ITA,B,84.85,155.0,159.0,161.0,161.0,12,194.0,198.0,202.0,202.0,4,363.0
7,2015,iwf,M,8.0,Ulugbek Alimov,UZB,B,84.27,150.0,155.0,158.0,158.0,13,192.0,197.0,202.0,202.0,4,360.0
8,2015,iwf,M,9.0,Alexandru Dudoglo,MDA,B,84.84,160.0,-163.0,163.0,163.0,10,187.0,192.0,197.0,197.0,10,360.0
9,2015,iwf,M,10.0,Benjamin Hennequin,FRA,A,84.49,-155.0,155.0,-160.0,155.0,19,195.0,-201.0,201.0,201.0,6,356.0
10,2015,iwf,M,11.0,Yu Dong-ju,KOR,B,84.39,151.0,157.0,-161.0,157.0,16,193.0,198.0,-200.0,198.0,9,355.0
11,2015,iwf,M,12.0,Gheorghe Cernei,ROU,A,84.14,162.0,-166.0,-166.0,162.0,11,190.0,-196.0,0.0,190.0,13,352.0
