,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2001,iwf,W,1.0,Gyöngyi Likerecz,HUN,A,74.74,112.5,116.0,-117.5,116.0,1,135.5,140.0,0.0,140.0,1,255.0
1,2001,iwf,W,2.0,Şule Şahbaz,TUR,A,74.26,107.5,112.5,-116.5,112.5,2,-125.0,127.5,135.0,135.0,2,247.5
2,2001,iwf,W,3.0,Cao Chunyan,CHN,A,73.78,-105.0,105.0,107.5,107.5,5,132.5,135.0,-140.0,135.0,2,242.5
3,2001,iwf,W,4.0,Kuo Yi-hang,TPE,A,74.02,-105.0,105.0,-107.5,105.0,7,135.0,-137.5,-137.5,135.0,2,240.0
4,2001,iwf,W,5.0,Tatyana Khromova,KAZ,A,74.8,105.0,-110.0,110.0,110.0,4,130.0,-132.5,-132.5,130.0,5,240.0
5,2001,iwf,W,6.0,Aysel Özgür,TUR,A,74.12,110.0,112.5,-115.0,112.5,2,115.0,125.0,-130.0,125.0,7,237.5
6,2001,iwf,W,7.0,Sun Yakun,CHN,A,73.46,-100.0,100.0,-105.0,100.0,9,127.5,-132.5,-132.5,127.5,6,227.5
7,2001,iwf,W,8.0,Sefi Onubaye,NGR,A,73.68,-100.0,100.0,-105.0,100.0,9,125.0,-130.0,-130.0,125.0,7,225.0
8,2001,iwf,W,9.0,Radomíra Ševčíková,CZE,A,74.36,100.0,-105.0,-105.0,100.0,9,120.0,125.0,-127.5,125.0,7,225.0
9,2001,iwf,W,10.0,Christina Ioannidi,GRE,A,73.62,90.0,95.0,97.5,97.5,13,115.0,120.0,122.5,122.5,10,220.0
10,2001,iwf,W,11.0,Filippia Kochliaridou,GRE,A,74.06,90.0,-95.0,95.0,95.0,14,115.0,120.0,-125.0,120.0,11,215.0
11,2001,iwf,W,12.0,Sumati Devi,IND,A,74.54,85.0,90.0,92.5,92.5,16,112.5,117.5,-122.5,117.5,12,210.0
12,2001,iwf,W,13.0,Mónica Carrió,ESP,A,74.42,95.0,-97.5,-97.5,95.0,14,110.0,-112.5,112.5,112.5,13,207.5
13,2001,iwf,W,14.0,Rachel Clark,GBR,A,70.88,77.5,80.0,82.5,82.5,17,92.5,97.5,-100.0,97.5,14,180.0
14,2001,iwf,W,15.0,Esther Velazco,MEX,A,69.06,75.0,-77.5,-77.5,75.0,18,-95.0,-95.0,95.0,95.0,15,170.0
15,2001,iwf,W,0.0,Ludmila Arefieva,RUS,A,72.62,100.0,-105.0,107.5,107.5,5,-120.0,-122.5,-122.5,-120.0,17,0.0
16,2001,iwf,W,0.0,Ilona Dankó,HUN,A,74.14,105.0,-110.0,-110.0,105.0,7,-125.0,-125.0,-125.0,-125.0,18,0.0
17,2001,iwf,W,0.0,Karoliina Lundahl,FIN,A,74.84,95.0,100.0,0.0,100.0,9,0.0,0.0,0.0,0.0,16,0.0
