,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,1997,iwf,M,1.0,Andrzej Cofalik,POL,A,82.55,165.0,170.0,172.5,172.5,1,200.0,205.0,207.5,207.5,1,380.0
1,1997,iwf,M,2.0,Dursun Sevinç,TUR,A,82.75,165.0,-170.0,170.0,170.0,3,200.0,-205.0,205.0,205.0,4,375.0
2,1997,iwf,M,3.0,Krzysztof Siemion,POL,A,82.4,160.0,-165.0,165.0,165.0,4,197.5,207.5,-210.0,207.5,1,372.5
3,1997,iwf,M,4.0,Yury Myshkovets,RUS,A,82.65,167.5,172.5,-177.5,172.5,1,-195.0,195.0,200.0,200.0,5,372.5
4,1997,iwf,M,5.0,Valeri Pokryvchak,UKR,A,82.8,147.5,-152.5,-152.5,147.5,9,180.0,185.0,190.0,190.0,6,337.5
5,1997,iwf,M,6.0,Diego Facca,ITA,A,82.95,145.0,-150.0,150.0,150.0,7,185.0,-190.0,-190.0,185.0,7,335.0
6,1997,iwf,M,7.0,Sergio Mannironi,ITA,A,80.55,-150.0,150.0,-155.0,150.0,7,182.5,-187.5,-190.0,182.5,8,332.5
7,1997,iwf,M,8.0,Aleksandrs Žerebkovs,LAT,A,78.95,150.0,-155.0,155.0,155.0,6,170.0,175.0,-177.5,175.0,10,330.0
8,1997,iwf,M,9.0,Mohamed Mousa,EGY,A,82.15,-147.5,-147.5,147.5,147.5,9,175.0,180.0,-185.0,180.0,9,327.5
9,1997,iwf,M,10.0,James Swann,NZL,A,83.0,132.5,137.5,-142.5,137.5,11,165.0,172.5,-180.0,172.5,12,310.0
10,1997,iwf,M,11.0,Daniel Bango,CZE,A,82.85,130.0,-135.0,0.0,130.0,12,170.0,-175.0,175.0,175.0,10,305.0
11,1997,iwf,M,12.0,Chiu Yen-chun,TPE,A,82.85,130.0,-137.5,-137.5,130.0,12,170.0,-175.0,-180.0,170.0,13,300.0
12,1997,iwf,M,13.0,Anuchit Saengsiriat,THA,A,81.95,125.0,-130.0,-130.0,125.0,16,-170.0,170.0,-175.0,170.0,13,295.0
13,1997,iwf,M,14.0,Jason MacLean,CAN,A,82.2,-130.0,130.0,-135.0,130.0,12,-160.0,160.0,-165.0,160.0,17,290.0
14,1997,iwf,M,15.0,Stephen Haldun,AUS,A,82.75,122.5,127.5,-132.5,127.5,15,-162.5,162.5,-167.5,162.5,16,290.0
15,1997,iwf,M,16.0,Norvell Busby,NED,A,79.3,115.0,-120.0,122.5,122.5,17,-145.0,-145.0,145.0,145.0,18,267.5
16,1997,iwf,M,0.0,Mital Sharipov,KGZ,A,81.95,160.0,165.0,-167.5,165.0,4,0.0,0.0,0.0,0.0,19,0.0
17,1997,iwf,M,0.0,Zhang Yong,CHN,A,81.85,-160.0,-160.0,-160.0,-160.0,20,200.0,205.0,207.5,207.5,1,0.0
18,1997,iwf,M,0.0,Bakhtiyor Nurullaev,UZB,A,80.7,-135.0,-135.0,-135.0,-135.0,19,170.0,-175.0,0.0,170.0,13,0.0
19,1997,iwf,M,0.0,Vyacheslav Nyu,KAZ,A,82.1,-162.5,-162.5,-162.5,-162.5,21,0.0,0.0,0.0,0.0,19,0.0
20,1997,iwf,M,0.0,Ibragim Samadov,KAZ,A,82.45,-155.0,-155.0,0.0,0.0,18,0.0,0.0,0.0,0.0,19,0.0
