,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2006,iwf,W,1.0,Yang Lian,CHN,A,47.8,90.0,95.0,98.0,98.0,1,110.0,116.0,119.0,119.0,1,217.0
1,2006,iwf,W,2.0,Aree Wiratthaworn,THA,A,47.52,80.0,85.0,-87.0,85.0,2,103.0,-108.0,-108.0,103.0,5,188.0
2,2006,iwf,W,3.0,Hiromi Miyake,JPN,A,47.63,78.0,80.0,-82.0,80.0,6,105.0,108.0,-110.0,108.0,2,188.0
3,2006,iwf,W,4.0,Svetlana Ulyanova,RUS,A,47.73,80.0,83.0,-85.0,83.0,3,-101.0,101.0,105.0,105.0,3,188.0
4,2006,iwf,W,5.0,Estefanía Juan,ESP,A,47.77,-82.0,-82.0,82.0,82.0,4,102.0,104.0,-107.0,104.0,4,186.0
5,2006,iwf,W,6.0,Thipamon Phupruem,THA,A,47.3,72.0,77.0,-80.0,77.0,7,95.0,100.0,102.0,102.0,6,179.0
6,2006,iwf,W,7.0,Genny Pagliaro,ITA,A,47.84,78.0,82.0,-84.0,82.0,4,95.0,-100.0,-100.0,95.0,9,177.0
7,2006,iwf,W,8.0,Nguyễn Bích Hà,VIE,A,47.65,75.0,-81.0,-81.0,75.0,8,93.0,96.0,-101.0,96.0,7,171.0
8,2006,iwf,W,9.0,Mélanie Noël,FRA,A,47.79,70.0,72.0,74.0,74.0,10,91.0,94.0,96.0,96.0,7,170.0
9,2006,iwf,W,10.0,Shoko Sumida,JPN,A,47.74,73.0,75.0,-78.0,75.0,8,-92.0,92.0,-95.0,92.0,10,167.0
10,2006,iwf,W,11.0,Carolina Valencia,MEX,B,47.97,73.0,-78.0,-78.0,73.0,11,92.0,-96.0,-96.0,92.0,10,165.0
11,2006,iwf,W,12.0,Olga Navotna,UKR,B,47.64,70.0,-73.0,73.0,73.0,11,85.0,88.0,91.0,91.0,12,164.0
12,2006,iwf,W,13.0,Chen Wei-ling,TPE,B,45.63,67.0,70.0,-71.0,70.0,13,82.0,87.0,90.0,90.0,13,160.0
13,2006,iwf,W,14.0,Lely Burgos,PUR,B,47.62,67.0,70.0,-72.0,70.0,13,85.0,90.0,-92.0,90.0,13,160.0
14,2006,iwf,W,15.0,Marta Kleszczyńska,POL,B,47.85,68.0,70.0,-72.0,70.0,13,88.0,90.0,-91.0,90.0,13,160.0
15,2006,iwf,W,16.0,Guillermina Candelario,DOM,B,47.98,-67.0,67.0,70.0,70.0,13,86.0,-91.0,-92.0,86.0,17,156.0
16,2006,iwf,W,17.0,Lazzat Kashkulina,KAZ,B,47.93,63.0,67.0,-70.0,67.0,17,82.0,-87.0,87.0,87.0,16,154.0
17,2006,iwf,W,18.0,Sevginar Topalova,BUL,B,47.96,62.0,-66.0,-66.0,62.0,19,83.0,-85.0,85.0,85.0,18,147.0
18,2006,iwf,W,19.0,Giovanna D'Alessandro,ITA,B,46.59,60.0,64.0,-66.0,64.0,18,75.0,-81.0,81.0,81.0,19,145.0
19,2006,iwf,W,20.0,Tímea Kovács,HUN,B,47.62,-56.0,56.0,-60.0,56.0,20,72.0,75.0,-77.0,75.0,20,131.0
20,2006,iwf,W,0.0,Silviya Angelova,BUL,B,47.48,-68.0,-68.0,-68.0,-68.0,21,0.0,0.0,0.0,0.0,21,0.0
