,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2015,iwf,M,1.0,Nijat Rahimov,KAZ,A,75.88,155.0,160.0,165.0,165.0,4,195.0,207.0,-211.0,207.0,1,372.0
1,2015,iwf,M,2.0,Mohamed Ihab,EGY,A,76.37,157.0,162.0,-166.0,162.0,7,193.0,197.0,201.0,201.0,3,363.0
2,2015,iwf,M,3.0,Andranik Karapetyan,ARM,A,76.94,164.0,-167.0,167.0,167.0,3,-191.0,191.0,196.0,196.0,5,363.0
3,2015,iwf,M,4.0,Viktor Getts,RUS,A,76.77,155.0,160.0,163.0,163.0,6,190.0,195.0,-202.0,195.0,6,358.0
4,2015,iwf,M,5.0,Su Ying,CHN,A,76.56,160.0,-163.0,165.0,165.0,4,-190.0,-190.0,190.0,190.0,8,355.0
5,2015,iwf,M,6.0,Pornchai Lobsi,THA,B,76.58,150.0,155.0,158.0,158.0,8,-185.0,185.0,190.0,190.0,8,348.0
6,2015,iwf,M,7.0,Aidar Kazov,KAZ,B,76.58,147.0,-152.0,152.0,152.0,19,190.0,194.0,-197.0,194.0,7,346.0
7,2015,iwf,M,8.0,Chatuphum Chinnawong,THA,A,76.85,-155.0,155.0,-160.0,155.0,11,190.0,-195.0,-195.0,190.0,8,345.0
8,2015,iwf,M,9.0,Alexandru Șpac,MDA,B,76.81,150.0,155.0,-158.0,155.0,11,184.0,189.0,-193.0,189.0,11,344.0
9,2015,iwf,M,10.0,Erkand Qerimaj,ALB,B,76.47,151.0,154.0,-156.0,154.0,15,186.0,188.0,-193.0,188.0,14,342.0
10,2015,iwf,M,11.0,Max Lang,GER,B,76.77,147.0,-150.0,150.0,150.0,22,180.0,186.0,189.0,189.0,11,339.0
11,2015,iwf,M,12.0,Junior Sánchez,VEN,B,75.42,151.0,-155.0,-155.0,151.0,20,178.0,183.0,186.0,186.0,15,337.0
