,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2009,iwf,W,1.0,Svetlana Podobedova,KAZ,A,74.91,125.0,130.0,132.0,132.0,1,150.0,155.0,160.0,160.0,1,292.0
1,2009,iwf,W,2.0,Cao Lei,CHN,A,72.43,112.0,118.0,121.0,121.0,2,140.0,145.0,148.0,148.0,2,269.0
2,2009,iwf,W,3.0,Hripsime Khurshudyan,ARM,A,74.26,120.0,-125.0,-125.0,120.0,3,141.0,-147.0,147.0,147.0,3,267.0
3,2009,iwf,W,4.0,Abeer Abdelrahman,EGY,A,74.17,105.0,110.0,-112.0,110.0,5,135.0,140.0,142.0,142.0,4,252.0
4,2009,iwf,W,5.0,Tatyana Khromova,KAZ,A,74.72,-110.0,110.0,-115.0,110.0,5,-135.0,-135.0,135.0,135.0,5,245.0
5,2009,iwf,W,6.0,Lidia Valentín,ESP,A,74.58,112.0,-118.0,-119.0,112.0,4,130.0,-136.0,-136.0,130.0,9,242.0
6,2009,iwf,W,7.0,Nadiya Myronyuk,UKR,A,74.21,105.0,109.0,-111.0,109.0,7,126.0,-131.0,131.0,131.0,8,240.0
7,2009,iwf,W,8.0,Sinta Darmariani,INA,A,71.13,97.0,100.0,-103.0,100.0,8,128.0,132.0,135.0,135.0,5,235.0
8,2009,iwf,W,9.0,Lim Ji-hye,KOR,A,74.83,-97.0,97.0,-101.0,97.0,9,124.0,128.0,132.0,132.0,7,229.0
9,2009,iwf,W,10.0,Khanittha Petanang,THA,B,74.53,91.0,93.0,95.0,95.0,10,117.0,122.0,-126.0,122.0,10,217.0
10,2009,iwf,W,11.0,Yang Houqin,MAC,B,74.57,90.0,93.0,95.0,95.0,10,107.0,111.0,115.0,115.0,12,210.0
11,2009,iwf,W,12.0,Caroline Girard,CAN,B,74.84,88.0,91.0,-94.0,91.0,12,113.0,-116.0,116.0,116.0,11,207.0
12,2009,iwf,W,13.0,Raquel Alonso,ESP,B,74.33,85.0,-88.0,-88.0,85.0,14,-105.0,107.0,111.0,111.0,13,196.0
13,2009,iwf,W,14.0,Rika Nakamura,JPN,B,74.53,84.0,-86.0,86.0,86.0,13,106.0,108.0,110.0,110.0,14,196.0
14,2009,iwf,W,15.0,Almira Lizde,BIH,B,74.85,-80.0,80.0,83.0,83.0,15,100.0,-102.0,-102.0,100.0,15,183.0
15,2009,iwf,W,0.0,Damaris Aguirre,MEX,A,74.62,-103.0,-103.0,-103.0,-103.0,16,-127.0,0.0,0.0,0.0,16,0.0
