,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2002,iwf,W,1.0,Agata Wróbel,POL,A,116.95,-120.0,120.0,125.0,125.0,2,155.0,160.0,162.5,162.5,1,287.5
1,2002,iwf,W,2.0,Albina Khomich,RUS,A,98.65,125.0,130.0,132.5,132.5,1,150.0,-155.0,-155.0,150.0,4,282.5
2,2002,iwf,W,3.0,Tang Gonghong,CHN,A,120.1,117.5,-122.5,-122.5,117.5,6,160.0,-167.5,-167.5,160.0,2,277.5
3,2002,iwf,W,4.0,Cheryl Haworth,USA,A,138.7,117.5,122.5,125.0,125.0,2,152.5,-157.5,-160.0,152.5,3,277.5
4,2002,iwf,W,5.0,Viktória Varga,HUN,A,90.9,-120.0,120.0,-125.0,120.0,4,150.0,-157.5,-157.5,150.0,4,270.0
5,2002,iwf,W,6.0,Vasiliki Kasapi,GRE,A,115.65,115.0,-120.0,120.0,120.0,4,-140.0,140.0,145.0,145.0,6,265.0
6,2002,iwf,W,7.0,Viktoriya Shaymardanova,UKR,A,92.7,110.0,115.0,117.5,117.5,6,135.0,140.0,-145.0,140.0,7,257.5
7,2002,iwf,W,8.0,Olha Korobka,UKR,A,141.85,105.0,-110.0,110.0,110.0,8,135.0,140.0,-145.0,140.0,7,250.0
8,2002,iwf,W,9.0,Oliba Nieve,ECU,A,87.55,105.0,110.0,-115.0,110.0,8,130.0,135.0,-140.0,135.0,10,245.0
9,2002,iwf,W,10.0,Monique Riesterer,GER,B,92.7,102.5,107.5,-110.0,107.5,10,127.5,132.5,135.0,135.0,10,242.5
10,2002,iwf,W,11.0,Derya Açikgöz,TUR,A,88.9,-100.0,-100.0,100.0,100.0,12,140.0,-145.0,-145.0,140.0,7,240.0
11,2002,iwf,W,12.0,Lyudmila Kanunova,KAZ,B,97.8,105.0,-110.0,-110.0,105.0,11,130.0,-135.0,135.0,135.0,10,240.0
12,2002,iwf,W,13.0,Theano Katsidi,GRE,B,98.05,100.0,-105.0,-105.0,100.0,12,127.5,-135.0,135.0,135.0,10,235.0
13,2002,iwf,W,14.0,Susanne Dandenault,CAN,B,113.25,-90.0,90.0,95.0,95.0,14,117.5,122.5,-127.5,122.5,14,217.5
14,2002,iwf,W,15.0,Marta Dreger,POL,B,86.35,95.0,-100.0,-100.0,95.0,14,110.0,117.5,-122.5,117.5,16,212.5
15,2002,iwf,W,16.0,Zuzana Kováčová,SVK,B,91.65,87.5,90.0,-92.5,90.0,16,117.5,122.5,-125.0,122.5,14,212.5
16,2002,iwf,W,17.0,Christina Strovolidou,CYP,B,87.4,-67.5,67.5,-72.5,67.5,17,85.0,90.0,95.0,95.0,17,162.5
