,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2000,oly,W,1.0,Lin Weining,CHN,A,66.74,107.5,110.0,-112.5,110.0,2,132.5,-137.5,-145.0,132.5,1,242.5
1,2000,oly,W,2.0,Erzsébet Márkus,HUN,A,68.52,105.0,110.0,112.5,112.5,1,125.0,130.0,-137.5,130.0,4,242.5
2,2000,oly,W,3.0,Karnam Malleswari,IND,A,67.9,105.0,107.5,110.0,110.0,2,125.0,130.0,-137.5,130.0,4,240.0
3,2000,oly,W,4.0,Milena Trendafilova,BUL,A,67.76,100.0,-105.0,-105.0,100.0,5,127.5,-132.5,132.5,132.5,1,232.5
4,2000,oly,W,5.0,Daniela Kerkelova,BUL,A,68.12,97.5,-100.0,100.0,100.0,5,127.5,-132.5,132.5,132.5,1,232.5
5,2000,oly,W,6.0,Irina Kasimova,RUS,A,68.56,100.0,-102.5,-102.5,100.0,5,130.0,-135.0,-135.0,130.0,4,230.0
6,2000,oly,W,7.0,Pawina Thongsuk,THA,A,67.22,-100.0,100.0,-105.0,100.0,5,-125.0,125.0,-132.5,125.0,8,225.0
7,2000,oly,W,8.0,Beata Prei,POL,A,67.5,95.0,100.0,-102.5,100.0,5,125.0,-130.0,-130.0,125.0,8,225.0
8,2000,oly,W,9.0,Michelle Kettner,AUS,A,67.8,-95.0,95.0,100.0,100.0,5,115.0,120.0,122.5,122.5,10,222.5
9,2000,oly,W,10.0,Aphinya Pharksupho,THA,A,68.28,95.0,102.5,-105.0,102.5,4,120.0,-127.5,-127.5,120.0,11,222.5
10,2000,oly,W,11.0,Maria Tatsi,GRE,A,67.42,92.5,-97.5,-97.5,92.5,11,122.5,127.5,-132.5,127.5,7,220.0
11,2000,oly,W,12.0,Eva Dimas,ESA,A,68.4,87.5,90.0,92.5,92.5,11,110.0,-115.0,-115.0,110.0,12,202.5
12,2000,oly,W,13.0,Ruth Rivera,PUR,A,67.28,-82.5,82.5,-85.0,82.5,14,100.0,105.0,-107.5,105.0,13,187.5
13,2000,oly,W,14.0,Valerie Pedro,PLW,A,68.04,70.0,-75.0,-75.0,70.0,15,-87.5,87.5,90.0,90.0,14,160.0
14,2000,oly,W,0.0,Nagwan El-Zawawi,EGY,A,68.2,87.5,92.5,-95.0,92.5,11,-110.0,-110.0,-110.0,-110.0,15,0.0
