,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2012,oly,M,1.0,Behdad Salimi,IRI,A,168.19,201.0,205.0,208.0,208.0,1,247.0,-264.0,0.0,247.0,1,455.0
1,2012,oly,M,2.0,Sajjad Anoushiravani,IRI,A,152.46,198.0,-204.0,204.0,204.0,3,237.0,245.0,-251.0,245.0,3,449.0
2,2012,oly,M,3.0,Ruslan Albegov,RUS,A,147.15,198.0,204.0,208.0,208.0,1,240.0,-245.0,-247.0,240.0,4,448.0
3,2012,oly,M,4.0,Jeon Sang-guen,KOR,A,157.53,190.0,-200.0,-200.0,190.0,10,-246.0,246.0,-259.0,246.0,2,436.0
4,2012,oly,M,5.0,Irakli Turmanidze,GEO,A,126.23,192.0,198.0,201.0,201.0,4,225.0,-232.0,232.0,232.0,8,433.0
5,2012,oly,M,6.0,Ihor Shymechko,UKR,A,137.38,-197.0,197.0,-200.0,197.0,5,225.0,232.0,-237.0,232.0,8,429.0
6,2012,oly,M,7.0,Jiří Orság,CZE,A,128.15,182.0,187.0,-190.0,187.0,11,231.0,239.0,-242.0,239.0,5,426.0
7,2012,oly,M,8.0,Almir Velagić,GER,A,141.41,186.0,190.0,192.0,192.0,7,229.0,234.0,-238.0,234.0,7,426.0
8,2012,oly,M,9.0,Chen Shih-chieh,TPE,B,141.14,177.0,182.0,-185.0,182.0,13,230.0,236.0,-240.0,236.0,6,418.0
9,2012,oly,M,10.0,Péter Nagy,HUN,B,155.55,184.0,191.0,-196.0,191.0,9,216.0,225.0,-230.0,225.0,11,416.0
10,2012,oly,M,11.0,Fernando Reis,BRA,B,140.49,178.0,180.0,-186.0,180.0,14,220.0,-225.0,0.0,220.0,12,400.0
11,2012,oly,M,12.0,Kazuomi Ota,JPN,B,146.51,180.0,-184.0,185.0,185.0,12,-215.0,215.0,-222.0,215.0,14,400.0
12,2012,oly,M,13.0,Itte Detenamo,NRU,B,151.32,165.0,170.0,175.0,175.0,15,205.0,-215.0,215.0,215.0,14,390.0
13,2012,oly,M,14.0,Christian López,GUA,B,139.15,172.0,-177.0,-177.0,172.0,16,-209.0,209.0,215.0,215.0,14,387.0
14,2012,oly,M,15.0,Damon Kelly,AUS,B,150.83,155.0,160.0,165.0,165.0,17,192.0,201.0,216.0,216.0,13,381.0
15,2012,oly,M,16.0,Frederic Fokejou,CMR,B,132.74,150.0,155.0,160.0,160.0,18,190.0,-200.0,202.0,202.0,17,362.0
16,2012,oly,M,17.0,Carl Henriquez,ARU,B,150.38,115.0,122.0,-127.0,122.0,19,-160.0,160.0,-171.0,160.0,18,282.0
17,2012,oly,M,0.0,Matthias Steiner,GER,A,149.98,192.0,-196.0,-197.0,192.0,7,0.0,0.0,0.0,0.0,19,0.0
18,2012,oly,M,0.0,Yauheni Zharnasek,BLR,B,147.37,188.0,193.0,196.0,196.0,6,219.0,225.0,230.0,230.0,10,0.0
