,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,1980,oly,M,1.0,Leonid Taranenko,URS,A,109.9,-182.5,182.5,-190.0,182.5,2,220.0,235.0,240.0,240.0,1,422.5
1,1980,oly,M,2.0,Valentin Khristov,BUL,A,109.55,177.5,182.5,185.0,185.0,1,220.0,-235.0,-235.0,220.0,2,405.0
2,1980,oly,M,3.0,György Szalai,HUN,A,108.1,-167.5,167.5,172.5,172.5,3,212.5,217.5,-225.0,217.5,3,390.0
3,1980,oly,M,4.0,Leif Nilsson,SWE,A,108.7,-167.5,167.5,-172.5,167.5,5,-212.5,212.5,-225.0,212.5,4,380.0
4,1980,oly,M,5.0,Vinzenz Hörtnagl,AUT,A,108.5,165.0,170.0,-172.5,170.0,4,202.5,-210.0,-210.0,202.5,5,372.5
5,1980,oly,M,6.0,Ştefan Taşnadi,ROU,A,108.45,165.0,-170.0,-170.0,165.0,6,195.0,-207.5,-207.5,195.0,6,360.0
6,1980,oly,M,7.0,Donald Mitchell,AUS,A,109.1,157.5,162.5,-167.5,162.5,7,185.0,-190.0,190.0,190.0,9,352.5
7,1980,oly,M,8.0,Dimitrios Zarzavatsidis,GRE,A,109.2,150.0,155.0,-160.0,155.0,8,192.5,-200.0,-200.0,192.5,7,347.5
8,1980,oly,M,9.0,Viktor Sirkiä,FIN,A,109.5,150.0,-155.0,-155.0,150.0,9,-192.5,-192.5,192.5,192.5,7,342.5
9,1980,oly,M,10.0,Andy Drzewiecki,GBR,A,107.05,-140.0,140.0,-145.0,140.0,10,175.0,180.0,-185.0,180.0,10,320.0
10,1980,oly,M,11.0,Ali Abdul Kader Maneer,IRQ,A,101.9,135.0,-145.0,-145.0,135.0,11,160.0,165.0,0.0,165.0,11,300.0
11,1980,oly,M,12.0,Mario Rodríguez,DOM,A,106.05,117.5,125.0,-135.0,125.0,12,155.0,162.5,-170.0,162.5,12,287.5
12,1980,oly,M,0.0,Pavel Khek,TCH,A,108.9,-175.0,-175.0,-177.5,-175.0,13,0.0,0.0,0.0,0.0,13,0.0
