,Year,Event,Gender,Comp Rank,Athlete Name,Nationality,Group,Body Weight (kg),Snatch 1 (kg),Snatch 2 (kg),Snatch 3 (kg),Max Snatch,Snatch Rank,C/J 1 (kg),C/J 2 (kg),C/J 3 (kg),Max C/J,C/J Rank,Total
0,2012,oly,W,1.0,Christine Girard,CAN,A,62.87,103.0,-105.0,-105.0,103.0,4,130.0,133.0,-135.0,133.0,2,236.0
1,2012,oly,W,2.0,Milka Maneva,BUL,A,62.66,98.0,102.0,-105.0,102.0,5,125.0,131.0,-134.0,131.0,3,233.0
2,2012,oly,W,3.0,Luz Acosta,MEX,A,62.91,99.0,-103.0,-104.0,99.0,6,119.0,125.0,-127.0,125.0,5,224.0
3,2012,oly,W,4.0,Seen Lee,AUS,A,59.65,78.0,83.0,-86.0,83.0,7,98.0,103.0,-106.0,103.0,7,186.0
4,2012,oly,W,5.0,Maria Liku,FIJ,A,61.45,78.0,82.0,-85.0,82.0,8,100.0,-105.0,-105.0,100.0,8,182.0
5,2012,oly,W,6.0,Lucía Castañeda,NCA,A,62.45,76.0,-79.0,79.0,79.0,9,91.0,-97.0,97.0,97.0,9,176.0
6,2012,oly,W,7.0,Silvana Saldarriaga,PER,A,58.11,70.0,-75.0,75.0,75.0,10,92.0,97.0,-101.0,97.0,9,172.0
7,2012,oly,W,0.0,Maiya Maneza,KAZ,A,62.21,106.0,110.0,-112.0,110.0,2,135.0,-144.0,-144.0,135.0,1,0.0
8,2012,oly,W,0.0,Svetlana Tsarukayeva,RUS,A,62.42,106.0,-111.0,112.0,112.0,1,125.0,-130.0,-130.0,125.0,5,0.0
9,2012,oly,W,0.0,Sibel Şimşek,TUR,A,62.28,-105.0,-105.0,105.0,105.0,3,130.0,-133.0,-133.0,130.0,4,0.0
